year,nlp_papers,out_citations,in_citations,median_fields_per_cited,avg_fields_per_cited,median_fields_per_citing,avg_fields_per_citing
2023,1,0,21,,,1.0,1.2857142857142858
2024,5,265,76,1.0,1.3852813852813852,1.0,1.48
