year,avg_incoming,avg_outgoing,median_incoming,median_outgoing,n_papers
2023,0.35939643347050754,,0.35939643347050754,,1
2024,0.5075618148085681,0.42100167257633336,0.4952066115702479,0.42993079584775085,5
